2026-01-28 03:52:51,199 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:51,207 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:51,207 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/kids/girls-9-14y/clothing/view-all.html
2026-01-28 03:52:51,536 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/kids/girls-9-14y/clothing/view-all.html is 200
2026-01-28 03:52:52,415 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:52:52,416 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:52,416 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:52,416 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/kids/girls/clothing/view-all.html
2026-01-28 03:52:52,832 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/kids/girls/clothing/view-all.html is 200
2026-01-28 03:52:53,824 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:52:53,825 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:53,825 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:53,825 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/kids/girls/sportswear/view-all.html
2026-01-28 03:52:54,147 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/kids/girls/sportswear/view-all.html is 200
2026-01-28 03:52:54,861 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:52:54,862 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:54,862 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:54,862 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/baby/newborn/outerwear/view-all.html
2026-01-28 03:52:55,709 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/baby/newborn/outerwear/view-all.html is 200
2026-01-28 03:52:56,271 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:52:56,271 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:56,271 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:56,271 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/home/shop-by-product/room-fragrance/view-all.html
2026-01-28 03:52:56,322 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/home/shop-by-product/room-fragrance/view-all.html is 403
2026-01-28 03:52:56,322 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 03:52:56,322 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 03:52:56,322 | ERROR | handm_scraper | api params sending failed
2026-01-28 03:52:57,122 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:52:57,122 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:57,122 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:57,122 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/beauty/shop-by-product/makeup/view-all.html
2026-01-28 03:52:57,306 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/beauty/shop-by-product/makeup/view-all.html is 403
2026-01-28 03:52:57,307 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 03:52:57,307 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 03:52:57,307 | ERROR | handm_scraper | api params sending failed
2026-01-28 03:52:57,806 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
